2010 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [15508 30/09/2010 14:57:47      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"ACT","102","Fraser","8802","Braddon","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","30","61.220"
"ACT","102","Fraser","8802","Braddon","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","19","38.780"
"ACT","102","Fraser","8802","Braddon","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","476","89.140"
"ACT","102","Fraser","8802","Braddon","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","58","10.860"
"ACT","102","Fraser","8803","Aranda","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","1330","66.000"
"ACT","102","Fraser","8803","Aranda","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","685","34.000"
"ACT","102","Fraser","8803","Aranda","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","38","71.700"
"ACT","102","Fraser","8803","Aranda","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","15","28.300"
"ACT","102","Fraser","8803","Aranda","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","668","92.910"
"ACT","102","Fraser","8803","Aranda","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","51","7.090"
"ACT","102","Fraser","8804","Ainslie South","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","399","70.250"
"ACT","102","Fraser","8804","Ainslie South","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","169","29.750"
"ACT","102","Fraser","8804","Ainslie South","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","11","55.000"
"ACT","102","Fraser","8804","Ainslie South","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","9","45.000"
"ACT","102","Fraser","8804","Ainslie South","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","224","93.720"
"ACT","102","Fraser","8804","Ainslie South","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","15","6.280"
"ACT","102","Fraser","8805","Belconnen","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","752","40.090"
"ACT","102","Fraser","8805","Belconnen","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","1124","59.910"
"ACT","102","Fraser","8805","Belconnen","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","42","64.620"
"ACT","102","Fraser","8805","Belconnen","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","23","35.380"
"ACT","102","Fraser","8805","Belconnen","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","469","83.450"
"ACT","102","Fraser","8805","Belconnen","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","93","16.550"
"ACT","102","Fraser","8806","Campbell","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","1008","59.430"
"ACT","102","Fraser","8806","Campbell","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","688","40.570"
"ACT","102","Fraser","8806","Campbell","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","21","58.330"
"ACT","102","Fraser","8806","Campbell","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","15","41.670"
"ACT","102","Fraser","8806","Campbell","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","322","85.410"
"ACT","102","Fraser","8806","Campbell","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","55","14.590"
"ACT","102","Fraser","8807","Charnwood","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","1161","39.760"
"ACT","102","Fraser","8807","Charnwood","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","1759","60.240"
"ACT","102","Fraser","8807","Charnwood","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","40","52.630"
"ACT","102","Fraser","8807","Charnwood","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","36","47.370"
"ACT","102","Fraser","8807","Charnwood","20860","GRN","Australian Greens","ESGUERRA","Indra","4","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","423","85.280"
"ACT","102","Fraser","8807","Charnwood","20860","GRN","Australian Greens","ESGUERRA","Indra","4","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","73","14.720"
"ACT","102","Fraser","8808","City","0","","","First Preferences","","0","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","589","62.070"
"ACT","102","Fraser","8808","City","0","","","First Preferences","","0","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","360","37.930"
"ACT","102","Fraser","8808","City","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","21210","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","30","65.220"
"ACT","102","Fraser","8808","City","21307","SPA","Secular Party of Australia","HEDGES-PHILLIPS","Quintin","2","20858","LP","Liberal Party of Australia - ACT Division","MILLIGAN","James Keith","1","16","34.780"
