2010 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [15508 30/09/2010 14:57:47      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"ACT","101","Canberra","8767","Duffy","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","364","84.850"
"ACT","101","Canberra","8768","Fadden","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1000","50.560"
"ACT","101","Canberra","8768","Fadden","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","978","49.440"
"ACT","101","Canberra","8768","Fadden","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","268","74.650"
"ACT","101","Canberra","8768","Fadden","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","91","25.350"
"ACT","101","Canberra","8769","Farrer","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1136","48.400"
"ACT","101","Canberra","8769","Farrer","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","1211","51.600"
"ACT","101","Canberra","8769","Farrer","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","328","78.850"
"ACT","101","Canberra","8769","Farrer","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","88","21.150"
"ACT","101","Canberra","8771","Gilmore","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1007","53.910"
"ACT","101","Canberra","8771","Gilmore","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","861","46.090"
"ACT","101","Canberra","8771","Gilmore","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","227","74.670"
"ACT","101","Canberra","8771","Gilmore","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","77","25.330"
"ACT","101","Canberra","8772","Gowrie","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","892","53.640"
"ACT","101","Canberra","8772","Gowrie","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","771","46.360"
"ACT","101","Canberra","8772","Gowrie","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","283","81.790"
"ACT","101","Canberra","8772","Gowrie","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","63","18.210"
"ACT","101","Canberra","8773","Holder","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","841","55.150"
"ACT","101","Canberra","8773","Holder","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","684","44.850"
"ACT","101","Canberra","8773","Holder","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","298","78.420"
"ACT","101","Canberra","8773","Holder","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","82","21.580"
"ACT","101","Canberra","8774","Hughes","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1156","52.140"
"ACT","101","Canberra","8774","Hughes","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","1061","47.860"
"ACT","101","Canberra","8774","Hughes","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","89","16.150"
"ACT","101","Canberra","8774","Hughes","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","462","83.850"
"ACT","101","Canberra","8776","Kambah North","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1104","54.950"
"ACT","101","Canberra","8776","Kambah North","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","905","45.050"
"ACT","101","Canberra","8776","Kambah North","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","88","20.180"
"ACT","101","Canberra","8776","Kambah North","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","348","79.820"
"ACT","101","Canberra","8777","Kambah South","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","965","60.650"
"ACT","101","Canberra","8777","Kambah South","0","","","First Preferences","","0","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","626","39.350"
"ACT","101","Canberra","8777","Kambah South","20864","GRN","Australian Greens","ELLERMAN","Sue","2","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","324","83.940"
"ACT","101","Canberra","8777","Kambah South","20864","GRN","Australian Greens","ELLERMAN","Sue","2","20863","LP","Liberal Party of Australia - ACT Division","JONES","Giulia","1","62","16.060"
"ACT","101","Canberra","8778","Kambah West","0","","","First Preferences","","0","21228","ALP","Australian Labor Party (ACT Branch)","BRODTMANN","Gai","3","1307","57.150"
