PollStartDate,PollEndDate,PollMedianDate,Pollster,ALP,LIB,COA,NAT,DEM,GRN,FF,ONP,PUP,OTH,ALP_TPP,N,,,
1/10/05,31/12/05,15/11/05,Newspoll,46,35,,2,1,4,2,0,,10,56,,,,
1/11/05,31/12/05,15/11/05,Morgan,49,32,,,4,4,5.5,1,,4.5,60.5,582,,,
1/01/06,28/02/06,30/01/06,Newspoll,44,37,,2,2,3,2,0,,10,54,,,,
1/01/06,28/02/06,30/01/06,Morgan,50.5,33,,,3,4.5,3.5,0.5,,5,60.5,558,,,
1/02/06,11/03/06,20/02/06,Morgan,50.5,31,,,3.5,6,3,0.5,,5.5,61.5,420,,,
15/03/06,16/03/06,15/03/06,Newspoll,46,33,,1.5,1.5,4,3,0,,11,57,,,,
1/03/06,30/04/06,31/03/06,Morgan,50,26.5,,,3,7,4,0.5,,9,63.5,,,,
1/05/06,30/06/06,31/05/06,Morgan,48,31.5,,,2.5,4.5,4,0,,9.5,58.5,420,,,
1/07/06,31/08/06,31/07/06,Morgan,51.5,27.5,,,2,5.5,4,0.5,,9,64.5,525,,,
1/09/06,31/10/06,1/10/06,Morgan,53,30.5,,,2,5,3.5,0.5,,5.5,53.5,595,,,
1/10/06,31/12/06,15/11/06,Newspoll,47,33,,1,2,4,3,,,10,58,,,,
1/11/06,31/12/06,1/12/06,Morgan,55.5,27,,,3,4,4,0.5,,6,66,470,,,
1/01/07,31/07/06,16/10/06,Newspoll,48,29,,1,4,6,2,,,10,61,,,,
1/04/07,30/06/07,16/05/07,Newspoll,47,35,,1,1,5,2,,,9,57,,,,
1/07/07,30/09/07,15/08/07,Newspoll,48,33,,1,2,6,2,,,8,59,,,,
1/10/07,31/12/07,15/11/07,Newspoll,42,36,,1,2,7,3,,,9,54,,,,
1/01/08,31/03/08,15/02/08,Newspoll,41,37,,0,1,8,1,,,12,53,,,,
1/04/08,30/06/08,16/05/08,Newspoll,41,35,,1,0,12,2,,,9,54,,,,
1/07/08,30/09/08,15/08/08,Newspoll,38,40,,1,1,8,1,,,11,50,,,,
1/10/08,31/12/08,15/11/08,Newspoll,39,35,,1,0,13,1,,,11,54,,,,
1/01/09,31/03/09,14/02/09,Newspoll,42,34,,1,1,10,1,,,11,56,,,,
1/07/09,31/08/09,31/07/09,Newspoll,41,33,,1,1,11,1,,,12,56,,,,
1/10/09,31/12/09,15/11/09,Newspoll,37,35,,1,1,12,1,,,13,53,,,,
1/01/10,31/03/10,14/02/10,Newspoll,36,39,,1,1,10,1,,,12,50,,,,
14/03/10,18/03/10,16/03/10,Newspoll,35.3,42.5,,0,0,9.3,3.2,,,9.1,48,,,,
25/02/11,6/03/11,1/03/11,Newspoll,29,42,,1,,14,,,,14,44,,,,
1/04/11,30/06/11,16/05/11,Newspoll,30,40,,1,,14,,,,15,46,,,,
1/11/11,30/12/11,30/11/11,Newspoll,34,40,,2,,9,,,,15,48,,,,
1/01/12,31/03/12,15/02/12,Newspoll,34,40,,0,,11,,,,15,48,,,,
1/07/12,30/09/12,15/08/12,Newspoll,28,43,,1,,11,,,,17,43,,,,
1/10/12,31/12/12,15/11/12,Newspoll,37,40,,1,,9,,,,13,49,,,,
1/03/13,31/03/13,16/03/13,Newspoll,33,43,,1,,10,,,,13,46,,,,
1/04/13,30/06/13,16/05/13,Newspoll,32,44,,1,,10,,,,13,44,,,,
1/10/13,31/12/13,15/11/13,Newspoll,33,40,,0,,10,,,,17,47,,,,
21/02/14,27/12/14,25/07/14,Newspoll,34,44,,0,,7,,,,15,46,,,,
10/03/14,13/03/14,11/03/14,Newspoll,34,41,,0,,9,,,,16,47.7,,,,
1/07/14,30/09/14,15/08/14,Newspoll,34,36,,,,9,,,,21,51,,,,
26/09/14,29/09/14,27/09/14,Morgan,35.5,40,,,,10,4,,4,4.5,49.5,,,,
24/10/14,27/10/14,25/10/14,Morgan,34.5,35.5,,,,12.5,7,,3.5,7,52.5,,,,
1/10/14,31/12/14,15/11/14,Newspoll,35,33,,,,10,,,,22,53,,,,
21/11/14,24/11/14,22/11/14,Morgan,35,38.5,,,,13,4.5,,2.5,6.5,51.5,,,,
16/01/14,18/01/14,17/01/14,Morgan,38,39.5,,,,10.5,3.5,,2,6.5,52,,,,
14/02/15,16/02/15,15/02/15,Morgan,38,38,,,,11.5,4,,1.5,7,53,,,,
13/03/15,15/03/15,14/03/15,Morgan,37.5,38,,,,12.5,5,,1.5,5.5,53,,,,
