division,state,ALP2PP,party,Total_population,Population_density1,LogPopDens,Persons_who_lived_at_a_different_address_5_years_ago,Persons_aged_under_5_years,Under5%A,Persons_aged_5_to_14_years,5to14%,Persons_aged_15_to_24_years,15to14%,Persons_aged_25_to_64_years,25to64%,Persons_aged_65_years_and_over,65pllus%,Median_age,Total_dependency_ratio3,Elderly_dependency_ratio5,Persons_of_Christian_religion,Christian%,Persons_of_Catholic_religion,Catholic%,Persons_of_Islamic_religion,Muslim%,Persons_of_no_religion,Atheist%,Persons_of_Indigenous_origin,Indiginous%,Persons_born_overseas,Overseas%,Persons_born_overseas_and_resident_in_Australia_since_2000,AusSince2000%,Persons_born_in_non-English_speaking_countries,NonEngBorn%,Persons_born_in_the_United_Kingdom_or_Ireland,UKIreBorn%,Persons_who_speak_English_not_well_or_not_at_all,BadEng%,Persons_speaking_a_language_other_than_English_at_home,OthEngHome%,Couple_families_with_dependent_children,DepChildren%,Couple_families_with_no_children,NoChild%,One_parent_families_with_dependent_children,OneParent%,Lone_person_households,Lone%,Persons_engaged_in_unpaid_child_care7,UnPaidCC%,Families_with_weekly_income_below_$650,Below650%,Families_with_weekly_income_$2000_and_above,Above2000%,Median_weekly_family_income,Individuals_with_weekly_income_below_$1000,IndBelow1000%,Persons_attending_infant/primary_or_secondary_school,Prim/Sec%,Persons_attending_non-government_infant/primary_or_secondary_school,PrivateSchool%,Persons_attending_a_tertiary_education_institution11,Tertiary%,Persons_whose_highest_level_of_schooling_completed_is_Year_10_or_below,Yr10Below%,Persons_with_university_qualifications,Degrees%,Households_with_an_internet_connection,Internet%,Households_with_a_broadband_internet_connection,,Occupied_private_dwellings,Rented_dwellings,Fully_owned_dwellings,Dwellings_being_purchased,Median_monthly_housing_loan_repayment,Median_weekly_rent,Flat_unit_or_apartment_dwellings,Persons_in_non-private_dwellings14,GovtHouse%,Dwellings_with_two_or_more_motor_vehicles,Employed_persons,Employed%,Unemployed_persons,Unemp%,Unemployed_persons_aged_15_to_19_years,Unemp15to24%,Unemployed_persons_aged_45_years_and_over,Unemp45+%,Labour_force20,Labourforce%,Labour_force_aged_45_years_and_over22,LabourForce45+%,Women_in_the_labour_force24,WomenLabour%,Persons_employed_in_agriculture,Ag%,Persons_employed_in_mining,Mine%,Persons_employed_in_manufacturing,Manu%,Persons_employed_in_accommodation_and_food_services,Accomm%,Persons_employed_in_professional_or_managerial_occupations,Prof%,Persons_using_public_transport_to_travel_to_work,
Berowra,(NSW),41.06,LP/NP,128394,174,2.2405,37438,7528,0.0586,18907,0.1473,19196,0.1495,68555,0.5339,14208,0.1107,38,2.16,6.18,89770,0.6992,34076,0.2654,1410,0.011,20222,0.1575,388,0.003,36306,0.2828,4481,0.0349,23546,0.1834,8013,0.0624,2162,0.0168,24687,0.1923,16990,0.1323,10534,0.082,2198,0.0171,5409,0.0421,31436,0.2448,3733,0.0291,14351,0.1118,1886,18025,0.1404,23780,0.1852,9048,0.0705,9669,0.0753,29929,0.2331,27789,0.2164,33034,0.2573,25426,0.198,40832,5500,16749,17610,2078,328,1251,1168,0.0091,27098,67138,0.5229,2132,0.0166,518,0.004,658,0.0051,69315,0.5399,31502,0.2454,32653,0.2543,637,0.005,127,0.001,4978,0.0388,3162,0.0246,31318,0.2439,7415,0.0578
Blair,(Qld),54.48,ALP,116684,18.1,1.2577,46074,8314,0.0713,18271,0.1566,16006,0.1372,60127,0.5153,13956,0.1196,35,1.88,5.46,80703,0.6916,23984,0.2055,154,0.0013,20216,0.1733,3723,0.0319,13253,0.1136,1642,0.0141,4602,0.0394,5239,0.0449,387,0.0033,4002,0.0343,11186,0.0959,11283,0.0967,4087,0.035,8668,0.0743,27617,0.2367,7549,0.0647,3774,0.0323,1085,13021,0.1116,18975,0.1626,5843,0.0501,4707,0.0403,44606,0.3823,6591,0.0565,23115,0.1981,14415,0.1235,40483,11069,12929,15131,1089,173,1467,2817,0.0241,21991,50730,0.4348,2694,0.0231,585,0.005,525,0.0045,53504,0.4585,19166,0.1643,24060,0.2062,1394,0.0119,321,0.0028,8289,0.071,2411,0.0207,10754,0.0922,2043,0.0175
Blaxland,(NSW),68.37,ALP,144242,2353.1,3.3716,41737,11422,0.0792,21281,0.1475,20691,0.1434,72184,0.5004,18699,0.1296,34,1.81,4.97,78824,0.5465,41924,0.2907,25158,0.1744,10157,0.0704,1072,0.0074,59997,0.4159,8198,0.0568,55260,0.3831,2086,0.0145,15474,0.1073,84529,0.586,15023,0.1042,9226,0.064,4344,0.0301,9952,0.069,27359,0.1897,11162,0.0774,4486,0.0311,967,18202,0.1262,22494,0.1559,8450,0.0586,8273,0.0574,42485,0.2945,10649,0.0738,23335,0.1618,16180,0.1122,45450,15602,14919,12744,1581,200,8501,1980,0.0137,18089,50471,0.3499,5229,0.0363,620,0.0043,1409,0.0098,55690,0.3861,18921,0.1312,23526,0.1631,100,0.0007,39,0.0003,7815,0.0542,2847,0.0197,11122,0.0771,6974,0.0483
Bonner,(Qld),54.53,ALP,129472,360.3,2.5567,51486,8491,0.0656,17241,0.1332,17820,0.1376,68514,0.5292,17428,0.1346,37,2,4.95,91640,0.7078,34957,0.27,1178,0.0091,20616,0.1592,1944,0.015,27880,0.2153,5482,0.0423,13817,0.1067,6713,0.0518,1545,0.0119,15092,0.1166,13333,0.103,12860,0.0993,3662,0.0283,10318,0.0797,30795,0.2379,6074,0.0469,8498,0.0656,1330,15763,0.1217,19099,0.1475,8352,0.0645,8314,0.0642,37265,0.2878,17982,0.1389,31342,0.2421,21977,0.1697,46920,12744,16267,16100,1440,237,2279,2025,0.0156,24840,64660,0.4994,2570,0.0198,580,0.0045,580,0.0045,67189,0.5189,24137,0.1864,31777,0.2454,249,0.0019,326,0.0025,7069,0.0546,3692,0.0285,21460,0.1658,6358,0.0491
Boothby,(SA),47.07,LP,128649,1066.6,3.028,42878,6428,0.05,14241,0.1107,17416,0.1354,66578,0.5175,23997,0.1865,42,1.88,3.5,79097,0.6148,24793,0.1927,1043,0.0081,30948,0.2406,692,0.0054,27494,0.2137,4880,0.0379,14183,0.1102,10865,0.0845,1371,0.0107,14372,0.1117,12184,0.0947,14388,0.1118,3110,0.0242,14361,0.1116,28865,0.2244,6725,0.0523,8008,0.0622,1275,15961,0.1241,18044,0.1403,7334,0.057,10364,0.0806,28501,0.2215,23558,0.1831,31656,0.2461,17984,0.1398,50778,11056,20072,17377,1208,177,5009,4431,0.0344,25262,61583,0.4787,2726,0.0212,608,0.0047,657,0.0051,64317,0.4999,27289,0.2121,30962,0.2407,380,0.003,337,0.0026,5399,0.042,3562,0.0277,25106,0.1952,5030,0.0391
Bowman,(Qld),49.96,LP/NP,127642,237.7,2.376,56111,7887,0.0618,18805,0.1473,17342,0.1359,66973,0.5247,16619,0.1302,38,1.95,5.07,88096,0.6902,28979,0.227,442,0.0035,23748,0.1861,1942,0.0152,26587,0.2083,4959,0.0389,7794,0.0611,10494,0.0822,601,0.0047,6469,0.0507,13769,0.1079,13339,0.1045,3646,0.0286,8629,0.0676,30789,0.2412,6722,0.0527,7066,0.0554,1240,15381,0.1205,20774,0.1628,8175,0.064,5940,0.0465,43471,0.3406,10694,0.0838,30194,0.2366,20649,0.1618,44676,10574,14993,17669,1383,239,1663,1544,0.0121,26143,61748,0.4838,2654,0.0208,675,0.0053,700,0.0055,64356,0.5042,25745,0.2017,30089,0.2357,481,0.0038,479,0.0038,7558,0.0592,3258,0.0255,16456,0.1289,2890,0.0226
Braddon,(Tas.),51.44,ALP,95711,4.6,0.6628,33988,5754,0.0601,13854,0.1447,11398,0.1191,49398,0.5161,15339,0.1603,39,1.74,3.96,60757,0.6348,16164,0.1689,124,0.0013,21337,0.2229,5046,0.0527,8044,0.084,842,0.0088,2616,0.0273,4065,0.0425,98,0.001,1661,0.0174,8917,0.0932,11226,0.1173,3060,0.032,9940,0.1039,21639,0.2261,8204,0.0857,2242,0.0234,956,9303,0.0972,15446,0.1614,3886,0.0406,3739,0.0391,46241,0.4831,5345,0.0558,18267,0.1909,8767,0.0916,37139,9688,14668,11368,793,120,2887,2310,0.0241,18885,39354,0.4112,3396,0.0355,554,0.0058,1013,0.0106,42770,0.4469,17189,0.1796,19324,0.2019,3052,0.0319,1017,0.0106,5690,0.0594,2585,0.027,10050,0.105,313,0.0033
Bradfield,(NSW),36.55,LP/NP,132735,1340.5,3.1273,46869,7317,0.0551,19176,0.1445,18525,0.1396,65904,0.4965,21814,0.1643,40,1.75,3.87,86827,0.6541,29661,0.2235,1197,0.009,22376,0.1686,197,0.0015,45066,0.3395,8495,0.064,27126,0.2044,9038,0.0681,3115,0.0235,27100,0.2042,16656,0.1255,11664,0.0879,2335,0.0176,8605,0.0648,31152,0.2347,3434,0.0259,16757,0.1262,2224,19201,0.1447,24150,0.1819,12801,0.0964,10415,0.0785,20634,0.1555,39742,0.2994,35602,0.2682,28857,0.2174,44922,8754,19784,14977,2475,325,9266,3953,0.0298,24730,62619,0.4718,2261,0.017,416,0.0031,683,0.0051,64868,0.4887,29826,0.2247,30258,0.228,221,0.0017,155,0.0012,3501,0.0264,2920,0.022,35100,0.2644,11645,0.0877
Brand,(WA),55.62,ALP,123961,302,2.48,56857,8713,0.0703,19597,0.1581,16934,0.1366,62939,0.5077,15804,0.1275,35,1.81,5.05,71154,0.574,22927,0.185,432,0.0035,32653,0.2634,2312,0.0187,33181,0.2677,4510,0.0364,6930,0.0559,21314,0.1719,445,0.0036,5295,0.0427,12454,0.1005,12983,0.1047,3758,0.0303,9187,0.0741,29081,0.2346,7820,0.0631,4950,0.0399,1132,13457,0.1086,19880,0.1604,6119,0.0494,4687,0.0378,40981,0.3306,5891,0.0475,26400,0.213,16719,0.1349,42921,11005,11654,18604,1218,169,2731,2943,0.0237,23757,52071,0.4201,2763,0.0223,580,0.0047,671,0.0054,54849,0.4425,18145,0.1464,23771,0.1918,501,0.004,1874,0.0151,7591,0.0612,2605,0.021,10148,0.0819,1782,0.0144
Brisbane,(Qld),56.76,ALP,133381,2507.6,3.3993,67067,7031,0.0527,10955,0.0821,23317,0.1748,78513,0.5886,13552,0.1016,33,3.23,7.51,79114,0.5931,38842,0.2912,837,0.0063,28080,0.2105,1311,0.0098,27458,0.2059,8412,0.0631,14521,0.1089,6674,0.05,1715,0.0129,13375,0.1003,9381,0.0703,13557,0.1016,2510,0.0188,18238,0.1367,23531,0.1764,3525,0.0264,11264,0.0844,1773,17166,0.1287,12119,0.0909,6630,0.0497,13996,0.1049,22177,0.1663,35184,0.2638,37237,0.2792,27757,0.2081,53580,24888,12318,14515,1698,249,22926,10593,0.0794,20112,74199,0.5563,2695,0.0202,415,0.0031,578,0.0043,76906,0.5766,21392,0.1604,37140,0.2785,176,0.0013,779,0.0058,4237,0.0318,5593,0.0419,35352,0.265,12066,0.0905
