division,state,ALP2PP,party,Total_population,Population_density1,LogPopDens,Persons_who_lived_at_a_different_address_5_years_ago,Persons_aged_under_5_years,Under5%A,Persons_aged_5_to_14_years,5to14%,Persons_aged_15_to_24_years,15to14%,Persons_aged_25_to_64_years,25to64%,Persons_aged_65_years_and_over,65pllus%,Median_age,Total_dependency_ratio3,Elderly_dependency_ratio5,Persons_of_Christian_religion,Christian%,Persons_of_Catholic_religion,Catholic%,Persons_of_Islamic_religion,Muslim%,Persons_of_no_religion,Atheist%,Persons_of_Indigenous_origin,Indiginous%,Persons_born_overseas,Overseas%,Persons_born_overseas_and_resident_in_Australia_since_2000,AusSince2000%,Persons_born_in_non-English_speaking_countries,NonEngBorn%,Persons_born_in_the_United_Kingdom_or_Ireland,UKIreBorn%,Persons_who_speak_English_not_well_or_not_at_all,BadEng%,Persons_speaking_a_language_other_than_English_at_home,OthEngHome%,Couple_families_with_dependent_children,DepChildren%,Couple_families_with_no_children,NoChild%,One_parent_families_with_dependent_children,OneParent%,Lone_person_households,Lone%,Persons_engaged_in_unpaid_child_care7,UnPaidCC%,Families_with_weekly_income_below_$650,Below650%,Families_with_weekly_income_$2000_and_above,Above2000%,Median_weekly_family_income,Individuals_with_weekly_income_below_$1000,IndBelow1000%,Persons_attending_infant/primary_or_secondary_school,Prim/Sec%,Persons_attending_non-government_infant/primary_or_secondary_school,PrivateSchool%,Persons_attending_a_tertiary_education_institution11,Tertiary%,Persons_whose_highest_level_of_schooling_completed_is_Year_10_or_below,Yr10Below%,Persons_with_university_qualifications,Degrees%,Households_with_an_internet_connection,Internet%,Households_with_a_broadband_internet_connection,,Occupied_private_dwellings,Rented_dwellings,Fully_owned_dwellings,Dwellings_being_purchased,Median_monthly_housing_loan_repayment,Median_weekly_rent,Flat_unit_or_apartment_dwellings,Persons_in_non-private_dwellings14,GovtHouse%,Dwellings_with_two_or_more_motor_vehicles,Employed_persons,Employed%,Unemployed_persons,Unemp%,Unemployed_persons_aged_15_to_19_years,Unemp15to24%,Unemployed_persons_aged_45_years_and_over,Unemp45+%,Labour_force20,Labourforce%,Labour_force_aged_45_years_and_over22,LabourForce45+%,Women_in_the_labour_force24,WomenLabour%,Persons_employed_in_agriculture,Ag%,Persons_employed_in_mining,Mine%,Persons_employed_in_manufacturing,Manu%,Persons_employed_in_accommodation_and_food_services,Accomm%,Persons_employed_in_professional_or_managerial_occupations,Prof%,Persons_using_public_transport_to_travel_to_work,
Bruce,(Vic.),58.32,ALP,129147,1905.9,3.2801,38987,6919,0.0536,14963,0.1159,18483,0.1431,69402,0.5374,19382,0.1501,39,2.13,4.53,77180,0.5976,34512,0.2672,5996,0.0464,18806,0.1456,455,0.0035,58088,0.4498,11352,0.0879,50576,0.3916,4630,0.0359,9967,0.0772,57873,0.4481,12905,0.0999,11607,0.0899,3325,0.0257,9674,0.0749,25087,0.1943,8534,0.0661,6103,0.0473,1110,18153,0.1406,17195,0.1331,5601,0.0434,8996,0.0697,30648,0.2373,18407,0.1425,27047,0.2094,19508,0.1511,45124,11011,18397,13726,1228,174,6251,2517,0.0195,23765,56018,0.4338,4111,0.0318,546,0.0042,1111,0.0086,60137,0.4656,24050,0.1862,26776,0.2073,175,0.0014,66,0.0005,10303,0.0798,2960,0.0229,16740,0.1296,3939,0.0305
Calare,(NSW),37.95,LP/NP,138626,4.5,0.6532,50732,9172,0.0662,20505,0.1479,18834,0.1359,69764,0.5033,20342,0.1467,37,1.77,4.36,110135,0.7945,45347,0.3271,209,0.0015,14617,0.1054,5611,0.0405,9482,0.0684,992,0.0072,4259,0.0307,3519,0.0254,293,0.0021,3423,0.0247,13147,0.0948,14057,0.1014,4157,0.03,13396,0.0966,31484,0.2271,9422,0.068,5367,0.0387,1088,14771,0.1066,23486,0.1694,8732,0.063,7254,0.0523,58092,0.4191,10718,0.0773,26896,0.194,12354,0.0891,50649,13748,19274,15895,1176,149,2912,6928,0.05,26333,59982,0.4327,4013,0.0289,790,0.0057,984,0.0071,64040,0.462,26395,0.1904,29313,0.2115,5168,0.0373,2126,0.0153,6132,0.0442,3992,0.0288,18533,0.1337,373,0.0027
Calwell,(Vic.),69.33,ALP,147783,293.5,2.4676,48135,11114,0.0752,24785,0.1677,22476,0.1521,77408,0.5238,12006,0.0812,32,2.09,8.32,90576,0.6129,54475,0.3686,19701,0.1333,18499,0.1252,871,0.0059,43165,0.2921,5979,0.0405,36956,0.2501,4197,0.0284,7776,0.0526,53511,0.3621,17491,0.1184,9819,0.0664,4596,0.0311,7043,0.0477,32578,0.2204,9259,0.0627,5315,0.036,1101,19003,0.1286,26805,0.1814,9463,0.064,6904,0.0467,39977,0.2705,9244,0.0626,27348,0.1851,18400,0.1245,45632,8336,13883,21844,1285,190,1859,1428,0.0097,27083,61342,0.4151,4666,0.0316,854,0.0058,850,0.0058,66002,0.4466,21246,0.1438,29021,0.1964,237,0.0016,55,0.0004,10719,0.0725,3586,0.0243,12651,0.0856,3208,0.0217
Canberra,(ACT),61.82,ALP,165067,86.2,1.9355,58693,9513,0.0576,22816,0.1382,24174,0.1464,91550,0.5546,17001,0.103,36,2.35,6.81,103149,0.6249,48404,0.2932,2010,0.0122,36484,0.221,2152,0.013,33568,0.2034,3808,0.0231,20419,0.1237,9158,0.0555,1631,0.0099,20278,0.1228,17633,0.1068,15466,0.0937,4759,0.0288,13785,0.0835,38502,0.2333,4388,0.0266,17186,0.1041,1819,21357,0.1294,27619,0.1673,12175,0.0738,12501,0.0757,35566,0.2155,38032,0.2304,44616,0.2703,32307,0.1957,60010,16067,18892,23748,1480,257,5693,4830,0.0293,32969,89798,0.544,2913,0.0176,785,0.0048,648,0.0039,92794,0.5622,35364,0.2142,45009,0.2727,276,0.0017,64,0.0004,2744,0.0166,4892,0.0296,39692,0.2405,4882,0.0296
Canning,(WA),44.42,LP/NP,119578,19.8,1.2967,50159,7190,0.0601,17360,0.1452,15038,0.1258,61918,0.5178,18060,0.151,39,1.81,4.26,70463,0.5893,21323,0.1783,328,0.0027,30127,0.2519,2451,0.0205,28665,0.2397,2793,0.0234,7104,0.0594,17583,0.147,310,0.0026,4954,0.0414,10816,0.0905,14036,0.1174,3542,0.0296,9718,0.0813,26165,0.2188,8014,0.067,5060,0.0423,1110,12742,0.1066,17812,0.149,5327,0.0445,4218,0.0353,42944,0.3591,6625,0.0554,25331,0.2118,14786,0.1237,43038,9768,14769,16723,1142,161,1909,1803,0.0151,24623,50791,0.4248,2425,0.0203,464,0.0039,645,0.0054,53241,0.4452,22097,0.1848,23323,0.195,1366,0.0114,2073,0.0173,6656,0.0557,2594,0.0217,11033,0.0923,1787,0.0149
Capricornia,(Qld),62.71,ALP,135004,1.5,0.1761,57510,9351,0.0693,20672,0.1531,18545,0.1374,70834,0.5247,15626,0.1157,35,1.96,5.72,93893,0.6955,36234,0.2684,212,0.0016,22001,0.163,5752,0.0426,10190,0.0755,2138,0.0158,3998,0.0296,3129,0.0232,313,0.0023,3359,0.0249,12984,0.0962,13532,0.1002,3740,0.0277,10318,0.0764,30421,0.2253,7313,0.0542,6384,0.0473,1180,13889,0.1029,21761,0.1612,7153,0.053,5439,0.0403,49924,0.3698,9527,0.0706,26732,0.198,14340,0.1062,46001,14514,15796,13898,1074,145,2783,11512,0.0853,25077,61384,0.4547,2728,0.0202,566,0.0042,652,0.0048,64162,0.4753,23784,0.1762,27931,0.2069,3239,0.024,6399,0.0474,4867,0.0361,4254,0.0315,15149,0.1122,1133,0.0084
Casey,(Vic.),44.07,LP,125723,308.5,2.4893,37830,8204,0.0653,18365,0.1461,17638,0.1403,67257,0.535,14277,0.1136,36,2.08,5.95,72755,0.5787,27454,0.2184,290,0.0023,34074,0.271,461,0.0037,21487,0.1709,1762,0.014,9381,0.0746,9679,0.077,822,0.0065,8298,0.066,14035,0.1116,11370,0.0904,3465,0.0276,8340,0.0663,30859,0.2455,5921,0.0471,6321,0.0503,1237,16124,0.1283,21567,0.1715,6801,0.0541,6137,0.0488,34702,0.276,11805,0.0939,28918,0.23,19597,0.1559,43134,6624,14881,20261,1255,196,1893,1526,0.0121,27563,63269,0.5032,2570,0.0204,593,0.0047,663,0.0053,65824,0.5236,25628,0.2038,30319,0.2412,1008,0.008,98,0.0008,9330,0.0742,2735,0.0218,17597,0.14,2764,0.022
Charlton,(NSW),62.87,ALP,125596,220.8,2.344,41321,7834,0.0624,17732,0.1412,16281,0.1296,64739,0.5155,19029,0.1515,38,1.82,4.26,92487,0.7364,27866,0.2219,253,0.002,19350,0.1541,3169,0.0252,12311,0.098,1085,0.0086,5797,0.0462,4397,0.035,459,0.0037,5236,0.0417,12339,0.0982,13032,0.1038,4001,0.0319,10046,0.08,31057,0.2473,8836,0.0704,5294,0.0422,1105,13487,0.1074,20138,0.1603,5432,0.0432,6521,0.0519,55521,0.4421,10042,0.08,27066,0.2155,16041,0.1277,45455,9740,16866,16957,1322,190,1873,3056,0.0243,23912,53582,0.4266,3758,0.0299,886,0.0071,828,0.0066,57309,0.4563,21822,0.1737,26355,0.2098,264,0.0021,921,0.0073,6520,0.0519,3186,0.0254,14132,0.1125,1172,0.0093
Chifley,(NSW),70.66,ALP,155299,1071.5,3.03,47582,12736,0.082,27221,0.1753,23765,0.153,78969,0.5085,12588,0.0811,31,1.96,8.16,110458,0.7113,57020,0.3672,8203,0.0528,14173,0.0913,5625,0.0362,55115,0.3549,8540,0.055,45807,0.295,4306,0.0277,5629,0.0362,54438,0.3505,16779,0.108,9431,0.0607,6509,0.0419,7990,0.0514,34422,0.2216,10084,0.0649,5597,0.036,1092,20849,0.1343,28429,0.1831,9920,0.0639,8128,0.0523,50243,0.3235,12225,0.0787,27201,0.1752,18763,0.1208,47852,16439,11042,18487,1586,190,1992,1424,0.0092,20884,61906,0.3986,5567,0.0358,1059,0.0068,1140,0.0073,67456,0.4344,22162,0.1427,29982,0.1931,333,0.0021,51,0.0003,10169,0.0655,3307,0.0213,11473,0.0739,8393,0.054
Chisholm,(Vic.),57.38,ALP,131502,2145.9,3.3316,46418,7010,0.0533,13639,0.1037,22177,0.1686,66200,0.5034,22488,0.171,37,2.05,3.93,75325,0.5728,31063,0.2362,2006,0.0153,28508,0.2168,296,0.0023,48440,0.3684,14580,0.1109,40841,0.3106,4553,0.0346,6463,0.0491,45443,0.3456,12748,0.0969,12387,0.0942,2848,0.0217,11306,0.086,26855,0.2042,7273,0.0553,8508,0.0647,1277,20388,0.155,16697,0.127,6371,0.0484,15994,0.1216,24141,0.1836,30573,0.2325,32151,0.2445,23574,0.1793,47771,13047,19273,13623,1484,227,6526,4823,0.0367,23322,59428,0.4519,3870,0.0294,534,0.0041,862,0.0066,63295,0.4813,22593,0.1718,29814,0.2267,103,0.0008,93,0.0007,5884,0.0447,3953,0.0301,25220,0.1918,7797,0.0593
Cook,(NSW),43.43,LP/NP,132578,1945.4,3.289,43773,8353,0.063,15626,0.1179,16754,0.1264,71080,0.5361,20795,0.1569,38,1.96,4.22,99555,0.7509,39836,0.3005,815,0.0061,17682,0.1334,833,0.0063,22559,0.1702,2685,0.0203,12366,0.0933,6467,0.0488,1189,0.009,14125,0.1065,13445,0.1014,13615,0.1027,2874,0.0217,12404,0.0936,31040,0.2341,5335,0.0402,11852,0.0894,1596,16772,0.1265,18065,0.1363,5378,0.0406,7517,0.0567,42215,0.3184,18173,0.1371,33061,0.2494,24014,0.1811,49614,12355,19012,16636,2013,259,13180,1496,0.0113,25311,67955,0.5126,2166,0.0163,411,0.0031,588,0.0044,70060,0.5284,26518,0.2,32816,0.2475,131,0.001,58,0.0004,6188,0.0467,3852,0.0291,25036,0.1888,7599,0.0573
Corangamite,(Vic.),50.85,ALP,127852,16.7,1.2227,46057,7664,0.0599,17297,0.1353,15962,0.1248,65608,0.5132,21302,0.1666,40,1.76,3.83,82019,0.6415,31636,0.2474,303,0.0024,28750,0.2249,691,0.0054,15099,0.1181,1754,0.0137,6567,0.0514,6627,0.0518,391,0.0031,5587,0.0437,12714,0.0994,14202,0.1111,3202,0.025,11630,0.091,29895,0.2338,7606,0.0595,5220,0.0408,1132,14566,0.1139,20375,0.1594,6879,0.0538,6388,0.05,35629,0.2787,15304,0.1197,28254,0.221,16978,0.1328,46984,9217,19743,16470,1157,171,2412,2970,0.0232,27682,58363,0.4565,2858,0.0224,607,0.0047,780,0.0061,61158,0.4783,25813,0.2019,28038,0.2193,2917,0.0228,103,0.0008,6378,0.0499,4266,0.0334,19780,0.1547,955,0.0075
Corio,(Vic.),58.93,ALP,126198,152.2,2.1824,42544,7866,0.0623,17196,0.1363,16791,0.1331,64905,0.5143,19441,0.1541,37,1.84,4.2,82252,0.6518,37736,0.299,828,0.0066,26387,0.2091,1049,0.0083,21414,0.1697,2026,0.0161,13446,0.1065,6461,0.0512,2226,0.0176,14116,0.1119,11526,0.0913,12524,0.0992,4365,0.0346,13040,0.1033,28670,0.2272,9113,0.0722,4404,0.0349,1063,14044,0.1113,19521,0.1547,6860,0.0544,5716,0.0453,39355,0.3119,10628,0.0842,25741,0.204,16601,0.1315,47944,12420,17497,16204,1102,155,4643,3899,0.0309,23770,53811,0.4264,4105,0.0325,690,0.0055,1000,0.0079,57851,0.4584,20819,0.165,26587,0.2107,615,0.0049,113,0.0009,8703,0.069,3227,0.0256,13934,0.1104,1705,0.0135
Cowan,(WA),48.29,LP/NP,122434,680.9,2.8331,47546,8372,0.0684,19014,0.1553,18317,0.1496,65690,0.5365,11031,0.0901,34,2.19,7.62,76631,0.6259,32204,0.263,2570,0.021,24483,0.2,1640,0.0134,39616,0.3236,5879,0.048,18996,0.1552,15634,0.1277,3253,0.0266,20641,0.1686,14118,0.1153,10875,0.0888,3384,0.0276,7115,0.0581,29324,0.2395,5816,0.0475,6428,0.0525,1260,15464,0.1263,20247,0.1654,6809,0.0556,6707,0.0548,34712,0.2835,9912,0.081,27730,0.2265,18524,0.1513,41008,6510,12114,21077,1238,192,928,744,0.0061,26188,61313,0.5008,2117,0.0173,430,0.0035,525,0.0043,63470,0.5184,23378,0.1909,29075,0.2375,571,0.0047,1331,0.0109,6487,0.053,3258,0.0266,15012,0.1226,3749,0.0306
Cowper,(NSW),48.77,LP/NP,129158,16.7,1.2227,50439,7151,0.0554,18818,0.1457,14440,0.1118,65224,0.505,23544,0.1823,43,1.61,3.38,88733,0.687,29271,0.2266,219,0.0017,23399,0.1812,6510,0.0504,12803,0.0991,1218,0.0094,4681,0.0362,5745,0.0445,278,0.0022,3884,0.0301,10687,0.0827,15120,0.1171,5214,0.0404,13114,0.1015,27034,0.2093,13049,0.101,2466,0.0191,798,11139,0.0862,21395,0.1656,5890,0.0456,5226,0.0405,57471,0.445,9042,0.07,26149,0.2025,13619,0.1054,49414,13834,20310,13410,1070,168,4003,4707,0.0364,21638,46626,0.361,5446,0.0422,811,0.0063,2015,0.0156,52061,0.4031,23579,0.1826,24678,0.1911,2496,0.0193,73,0.0006,3227,0.025,4558,0.0353,13719,0.1062,294,0.0023
Cunningham,(NSW),68.13,ALP,138178,249.3,2.3967,44553,8422,0.061,17869,0.1293,20097,0.1454,70964,0.5136,20821,0.1507,37,1.93,4.37,97298,0.7041,38549,0.279,1732,0.0125,22405,0.1621,1835,0.0133,27513,0.1991,3980,0.0288,17199,0.1245,7886,0.0571,2629,0.019,19578,0.1417,13528,0.0979,13177,0.0954,3730,0.027,13390,0.0969,32727,0.2368,8276,0.0599,8298,0.0601,1251,16603,0.1202,20504,0.1484,6674,0.0483,11408,0.0826,48307,0.3496,19246,0.1393,30932,0.2239,18783,0.1359,51256,15190,18674,15349,1602,190,9892,3606,0.0261,23165,60947,0.4411,4359,0.0315,823,0.006,982,0.0071,65185,0.4717,23502,0.1701,30059,0.2175,164,0.0012,1295,0.0094,6431,0.0465,3935,0.0285,21551,0.156,3739,0.0271
Curtin,(WA),36.43,LP/NP,130735,1448.4,3.1609,56026,6948,0.0531,14622,0.1118,20770,0.1589,69025,0.528,19351,0.148,37,2.19,4.64,79089,0.605,31764,0.243,1131,0.0087,27832,0.2129,546,0.0042,37987,0.2906,9721,0.0744,18841,0.1441,13048,0.0998,1379,0.0105,16011,0.1225,12046,0.0921,12773,0.0977,2690,0.0206,16350,0.1251,27271,0.2086,3667,0.028,12908,0.0987,1933,16517,0.1263,17269,0.1321,10146,0.0776,13485,0.1031,19434,0.1487,37832,0.2894,35722,0.2732,25964,0.1986,50539,16194,17843,14592,1722,205,10896,6846,0.0524,24841,64640,0.4944,2047,0.0157,386,0.003,543,0.0042,66657,0.5099,26002,0.1989,31455,0.2406,384,0.0029,2762,0.0211,3248,0.0248,4120,0.0315,34752,0.2658,6147,0.047
Dawson,(Qld),53.21,ALP,140567,9.5,0.9777,59799,9117,0.0649,20715,0.1474,18761,0.1335,76310,0.5429,15633,0.1112,36,2.09,6.08,96632,0.6874,39315,0.2797,267,0.0019,23294,0.1657,6175,0.0439,15117,0.1075,3024,0.0215,6083,0.0433,4407,0.0314,496,0.0035,5578,0.0397,13917,0.099,14446,0.1028,3477,0.0247,10115,0.072,31015,0.2206,6653,0.0473,6735,0.0479,1229,15129,0.1076,21749,0.1547,6799,0.0484,5097,0.0363,50058,0.3561,9748,0.0693,28333,0.2016,16141,0.1148,47727,14362,15667,15972,1251,178,4505,8666,0.0617,27104,67841,0.4826,2585,0.0184,499,0.0035,711,0.0051,70407,0.5009,25965,0.1847,31313,0.2228,4105,0.0292,3591,0.0255,6390,0.0455,5740,0.0408,17238,0.1226,1223,0.0087
Deakin,(Vic.),51.41,ALP,120618,1965.1,3.2934,36715,7845,0.065,13732,0.1138,14358,0.119,63811,0.529,20902,0.1733,38,1.84,3.74,73123,0.6062,27957,0.2318,829,0.0069,27249,0.2259,342,0.0028,29349,0.2433,4357,0.0361,20265,0.168,6412,0.0532,3258,0.027,22050,0.1828,11866,0.0984,12200,0.1011,3085,0.0256,12601,0.1045,27691,0.2296,6123,0.0508,7165,0.0594,1271,15346,0.1272,15877,0.1316,4781,0.0396,7408,0.0614,27071,0.2244,21201,0.1758,29750,0.2466,20623,0.171,46497,10346,18435,16228,1324,201,4014,2160,0.0179,23496,57972,0.4806,2488,0.0206,373,0.0031,654,0.0054,60457,0.5012,22396,0.1857,28503,0.2363,142,0.0012,69,0.0006,6410,0.0531,2804,0.0232,21549,0.1787,6111,0.0507
Denison,(Tas.),65.63,ALP,96847,335.4,2.5256,37207,5276,0.0545,11233,0.116,15150,0.1564,50393,0.5203,14799,0.1528,38,2.09,4.43,59042,0.6096,21051,0.2174,494,0.0051,22615,0.2335,2295,0.0237,13995,0.1445,2792,0.0288,7616,0.0786,4680,0.0483,828,0.0085,7475,0.0772,8191,0.0846,9343,0.0965,3264,0.0337,12193,0.1259,20580,0.2125,5353,0.0553,4246,0.0438,1139,11410,0.1178,13444,0.1388,5277,0.0545,8748,0.0903,30427,0.3142,16217,0.1674,21474,0.2217,12757,0.1317,38474,11596,13302,12100,1017,162,6284,4419,0.0456,16604,44533,0.4598,2799,0.0289,544,0.0056,608,0.0063,47363,0.489,17950,0.1853,23130,0.2388,430,0.0044,67,0.0007,3307,0.0341,3488,0.036,16478,0.1701,2247,0.0232
Dickson,(Qld),49.87,ALP,123694,171.2,2.2335,49717,9228,0.0746,19978,0.1615,16548,0.1338,68347,0.5525,9613,0.0777,34,2.19,8.83,85579,0.6919,30840,0.2493,216,0.0017,23658,0.1913,1633,0.0132,19890,0.1608,3533,0.0286,6341,0.0513,7370,0.0596,243,0.002,5218,0.0422,15178,0.1227,11568,0.0935,3277,0.0265,6120,0.0495,33309,0.2693,4831,0.0391,7911,0.064,1361,15262,0.1234,22112,0.1788,7422,0.06,6071,0.0491,36604,0.2959,13147,0.1063,30336,0.2453,20328,0.1643,41218,7704,12213,20368,1351,222,798,673,0.0054,26559,64550,0.5219,2148,0.0174,509,0.0041,414,0.0033,66693,0.5392,24239,0.196,31089,0.2513,323,0.0026,359,0.0029,6710,0.0542,3223,0.0261,18681,0.151,4535,0.0367
Dobell,(NSW),53.9,ALP,128309,178.6,2.2519,47766,8516,0.0664,19238,0.1499,15800,0.1231,62978,0.4908,21775,0.1697,38,1.59,3.62,94865,0.7393,35058,0.2732,339,0.0026,19106,0.1489,3053,0.0238,16169,0.126,1302,0.0101,5723,0.0446,7385,0.0576,344,0.0027,4904,0.0382,12282,0.0957,12585,0.0981,4586,0.0357,11545,0.09,30263,0.2359,8933,0.0696,4944,0.0385,1084,13374,0.1042,21134,0.1647,5314,0.0414,5265,0.041,53105,0.4139,8489,0.0662,26921,0.2098,15503,0.1208,46764,12227,16215,16170,1528,205,2737,2335,0.0182,21864,52442,0.4087,4137,0.0322,915,0.0071,1012,0.0079,56524,0.4405,21207,0.1653,26442,0.2061,437,0.0034,166,0.0013,5533,0.0431,3759,0.0293,13852,0.108,2363,0.0184
Dunkley,(Vic.),45.96,LP,132916,937.4,2.9719,48085,7755,0.0583,17602,0.1324,17393,0.1309,69484,0.5228,20691,0.1557,39,1.89,4.2,78253,0.5887,29473,0.2217,561,0.0042,33441,0.2516,756,0.0057,27785,0.209,3516,0.0265,10277,0.0773,13730,0.1033,783,0.0059,9062,0.0682,12262,0.0923,13335,0.1003,4588,0.0345,13421,0.101,30313,0.2281,8122,0.0611,5969,0.0449,1139,15931,0.1199,20038,0.1508,5618,0.0423,5729,0.0431,37518,0.2823,12803,0.0963,30497,0.2294,20509,0.1543,50084,11802,16886,19337,1236,178,4230,2478,0.0186,26010,60526,0.4554,3622,0.0273,740,0.0056,973,0.0073,64252,0.4834,26003,0.1956,29847,0.2246,324,0.0024,106,0.0008,8467,0.0637,3267,0.0246,17173,0.1292,2258,0.017
Durack,(WA),,LP/NP,147279,0.1,-1,61766,11843,0.0804,23908,0.1623,18459,0.1253,81239,0.5516,11749,0.0798,33,2.1,8.49,83032,0.5638,34702,0.2356,959,0.0065,34047,0.2312,24678,0.1676,17394,0.1181,3070,0.0208,5784,0.0393,6726,0.0457,435,0.003,11294,0.0767,13746,0.0933,13374,0.0908,3690,0.0251,11102,0.0754,31740,0.2155,7087,0.0481,7586,0.0515,1236,14625,0.0993,21824,0.1482,5692,0.0386,4156,0.0282,45136,0.3065,9410,0.0639,26510,0.18,16194,0.11,46131,20499,11871,11675,1006,99,2436,21201,0.144,25026,67380,0.4575,2851,0.0194,458,0.0031,716,0.0049,70367,0.4778,25898,0.1758,30029,0.2039,7473,0.0507,8074,0.0548,3083,0.0209,4036,0.0274,19805,0.1345,2535,0.0172
Eden-Monaro,(NSW),53.4,ALP,130238,4.4,0.6435,51024,7615,0.0585,18159,0.1394,14452,0.111,69023,0.53,21000,0.1612,41,1.79,3.98,88866,0.6823,34280,0.2632,343,0.0026,23841,0.1831,3641,0.028,17875,0.1372,1393,0.0107,8769,0.0673,6673,0.0512,732,0.0056,7823,0.0601,11855,0.091,15429,0.1185,3757,0.0288,12966,0.0996,27906,0.2143,9437,0.0725,5294,0.0406,1063,13850,0.1063,20476,0.1572,5925,0.0455,5187,0.0398,48355,0.3713,12859,0.0987,28486,0.2187,14886,0.1143,48827,12570,19407,14995,1226,169,4514,13985,0.1074,24687,56987,0.4376,3210,0.0246,517,0.004,1195,0.0092,60299,0.463,26052,0.2,28048,0.2154,2902,0.0223,86,0.0007,3756,0.0288,5317,0.0408,18408,0.1413,526,0.004
Fadden,(Qld),39.8,LP/NP,121343,306.8,2.4869,64373,7435,0.0613,16014,0.132,15786,0.1301,65746,0.5418,16378,0.135,37,2.05,4.98,79173,0.6525,27068,0.2231,1175,0.0097,23928,0.1972,1317,0.0109,32742,0.2698,7208,0.0594,11409,0.094,9217,0.076,1081,0.0089,10491,0.0865,11324,0.0933,14088,0.1161,3941,0.0325,9628,0.0793,26768,0.2206,7657,0.0631,5497,0.0453,1135,14582,0.1202,16882,0.1391,5556,0.0458,5929,0.0489,38038,0.3135,10113,0.0833,29879,0.2462,19924,0.1642,44934,15392,12587,15478,1516,263,4794,1742,0.0144,24312,57289,0.4721,3208,0.0264,546,0.0045,916,0.0075,60443,0.4981,22301,0.1838,28218,0.2325,354,0.0029,182,0.0015,6130,0.0505,5240,0.0432,15248,0.1257,1340,0.011
Fairfax,(Qld),46.99,LP/NP,120211,115.5,2.0626,58293,7290,0.0606,17133,0.1425,14034,0.1167,63194,0.5257,18562,0.1544,40,1.8,4.16,75955,0.6318,23022,0.1915,135,0.0011,27565,0.2293,1593,0.0133,21403,0.178,3956,0.0329,5860,0.0487,8619,0.0717,151,0.0013,4021,0.0334,11402,0.0948,14372,0.1196,3859,0.0321,10123,0.0842,27579,0.2294,8497,0.0707,4349,0.0362,1072,12626,0.105,18737,0.1559,6284,0.0523,4681,0.0389,39452,0.3282,11534,0.0959,29452,0.245,18168,0.1511,44919,12251,15524,15342,1317,230,4925,2613,0.0217,23982,53547,0.4454,3177,0.0264,584,0.0049,941,0.0078,56815,0.4726,22696,0.1888,26947,0.2242,1106,0.0092,315,0.0026,3951,0.0329,4564,0.038,15817,0.1316,688,0.0057
Farrer,(NSW),38.83,LP/NP,135617,0.5,-0.301,47762,8461,0.0624,19358,0.1427,16237,0.1197,68747,0.5069,22763,0.1678,40,1.68,3.73,98442,0.7259,38006,0.2802,173,0.0013,22043,0.1625,4874,0.0359,8903,0.0656,955,0.007,4058,0.0299,3139,0.0231,245,0.0018,3440,0.0254,12133,0.0895,15266,0.1126,3976,0.0293,14530,0.1071,29840,0.22,10152,0.0749,4016,0.0296,1034,14210,0.1048,21397,0.1578,5707,0.0421,6012,0.0443,54734,0.4036,9295,0.0685,26575,0.196,15199,0.1121,51719,13121,20345,15952,973,127,4525,5759,0.0425,26207,59825,0.4411,3461,0.0255,661,0.0049,982,0.0072,63320,0.4669,27366,0.2018,28737,0.2119,8330,0.0614,848,0.0063,6034,0.0445,4662,0.0344,19630,0.1447,341,0.0025
Fisher,(Qld),46.9,LP/NP,108968,90.7,1.9576,53963,6130,0.0563,14393,0.1321,13204,0.1212,55785,0.5119,19463,0.1786,41,1.73,3.55,70346,0.6456,21758,0.1997,127,0.0012,22932,0.2104,1322,0.0121,19116,0.1754,3457,0.0317,5200,0.0477,7661,0.0703,239,0.0022,3573,0.0328,9289,0.0852,13890,0.1275,3419,0.0314,9358,0.0859,23480,0.2155,8483,0.0778,3528,0.0324,1030,11015,0.1011,15522,0.1424,4186,0.0384,4439,0.0407,38614,0.3544,9215,0.0846,25607,0.235,15709,0.1442,40788,12008,15117,11994,1349,241,5402,2789,0.0256,20453,46403,0.4258,2814,0.0258,502,0.0046,776,0.0071,49176,0.4513,19420,0.1782,23195,0.2129,1393,0.0128,240,0.0022,3597,0.033,4016,0.0369,12810,0.1176,886,0.0081
Flinders,(Vic.),41.75,LP,130706,66,1.8195,45548,7297,0.0558,17436,0.1334,14974,0.1146,65685,0.5025,25283,0.1934,42,1.61,3.19,75156,0.575,26792,0.205,170,0.0013,33611,0.2571,719,0.0055,19837,0.1518,1267,0.0097,7040,0.0539,10527,0.0805,495,0.0038,5608,0.0429,11476,0.0878,14954,0.1144,3428,0.0262,12177,0.0932,28217,0.2159,9076,0.0694,4389,0.0336,1061,13962,0.1068,18998,0.1453,5195,0.0397,4196,0.0321,41086,0.3143,10308,0.0789,27103,0.2074,16156,0.1236,47218,8769,18934,17426,1215,167,1536,3128,0.0239,26445,54687,0.4184,2686,0.0205,575,0.0044,876,0.0067,57440,0.4395,25152,0.1924,25955,0.1986,2008,0.0154,216,0.0017,6409,0.049,3668,0.0281,15305,0.1171,678,0.0052
