2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for QLD [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:27 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
QLD,304,Blair,47714,Chuwar,21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,57,-11.24
QLD,304,Blair,47714,Chuwar,20750,KING,Brad,4,N,N,IND,Independent,6,3.24
QLD,304,Blair,47714,Chuwar,21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,16,3.91
QLD,304,Blair,47714,Chuwar,999,Informal,Informal,999,N,N,,Informal,13,3.83
QLD,304,Blair,55256,Collingwood Park (Blair),20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,385,0.51
QLD,304,Blair,55256,Collingwood Park (Blair),21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,81,4.89
QLD,304,Blair,55256,Collingwood Park (Blair),21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,602,-17.71
QLD,304,Blair,55256,Collingwood Park (Blair),20750,KING,Brad,4,N,N,IND,Independent,49,3.82
QLD,304,Blair,55256,Collingwood Park (Blair),21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,165,9.63
QLD,304,Blair,55256,Collingwood Park (Blair),999,Informal,Informal,999,N,N,,Informal,123,4.03
QLD,304,Blair,6355,Coominya,20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,326,4.04
QLD,304,Blair,6355,Coominya,21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,33,1
QLD,304,Blair,6355,Coominya,21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,257,-11.11
QLD,304,Blair,6355,Coominya,20750,KING,Brad,4,N,N,IND,Independent,40,5.59
QLD,304,Blair,6355,Coominya,21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,59,2.49
QLD,304,Blair,6355,Coominya,999,Informal,Informal,999,N,N,,Informal,46,0.59
QLD,304,Blair,32685,Divisional Office (PREPOLL),20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,0,-43.65
QLD,304,Blair,32685,Divisional Office (PREPOLL),21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,0,-1.66
QLD,304,Blair,32685,Divisional Office (PREPOLL),21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,0,-46.41
QLD,304,Blair,32685,Divisional Office (PREPOLL),20750,KING,Brad,4,N,N,IND,Independent,0,0
QLD,304,Blair,32685,Divisional Office (PREPOLL),21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,0,-5.52
QLD,304,Blair,32685,Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,0,-2.16
QLD,304,Blair,6358,East Ipswich,20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,303,-0.53
QLD,304,Blair,6358,East Ipswich,21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,46,2.58
QLD,304,Blair,6358,East Ipswich,21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,538,-13
QLD,304,Blair,6358,East Ipswich,20750,KING,Brad,4,N,N,IND,Independent,52,4.85
QLD,304,Blair,6358,East Ipswich,21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,134,8.68
QLD,304,Blair,6358,East Ipswich,999,Informal,Informal,999,N,N,,Informal,92,2.74
QLD,304,Blair,6380,Eastern Heights,20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,826,-0.09
QLD,304,Blair,6380,Eastern Heights,21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,96,2.82
QLD,304,Blair,6380,Eastern Heights,21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,944,-12.01
QLD,304,Blair,6380,Eastern Heights,20750,KING,Brad,4,N,N,IND,Independent,92,4.22
QLD,304,Blair,6380,Eastern Heights,21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,221,7.79
QLD,304,Blair,6380,Eastern Heights,999,Informal,Informal,999,N,N,,Informal,180,3.79
QLD,304,Blair,6360,Esk,20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,542,-0.03
QLD,304,Blair,6360,Esk,21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,59,2.44
QLD,304,Blair,6360,Esk,21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,450,-6.45
QLD,304,Blair,6360,Esk,20750,KING,Brad,4,N,N,IND,Independent,57,4.78
QLD,304,Blair,6360,Esk,21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,85,2.01
QLD,304,Blair,6360,Esk,999,Informal,Informal,999,N,N,,Informal,79,3.07
QLD,304,Blair,6361,Fernvale,20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,708,-2.65
QLD,304,Blair,6361,Fernvale,21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,138,5.99
QLD,304,Blair,6361,Fernvale,21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,548,-10.5
QLD,304,Blair,6361,Fernvale,20750,KING,Brad,4,N,N,IND,Independent,53,3.3
QLD,304,Blair,6361,Fernvale,21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,161,5.4
QLD,304,Blair,6361,Fernvale,999,Informal,Informal,999,N,N,,Informal,103,3.17
QLD,304,Blair,6362,Flinders View,20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,311,0.19
QLD,304,Blair,6362,Flinders View,21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,46,4.05
QLD,304,Blair,6362,Flinders View,21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,290,-13.24
QLD,304,Blair,6362,Flinders View,20750,KING,Brad,4,N,N,IND,Independent,37,4.93
QLD,304,Blair,6362,Flinders View,21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,66,6.06
QLD,304,Blair,6362,Flinders View,999,Informal,Informal,999,N,N,,Informal,47,2.14
QLD,304,Blair,6364,Glamorgan Vale,20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,206,1.22
QLD,304,Blair,6364,Glamorgan Vale,21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,12,0.83
QLD,304,Blair,6364,Glamorgan Vale,21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,113,-9.64
QLD,304,Blair,6364,Glamorgan Vale,20750,KING,Brad,4,N,N,IND,Independent,18,4.68
QLD,304,Blair,6364,Glamorgan Vale,21575,PETERSEN,Patricia May,5,N,N,GRN,The Greens,36,4.76
QLD,304,Blair,6364,Glamorgan Vale,999,Informal,Informal,999,N,N,,Informal,21,4.49
QLD,304,Blair,6445,Grandchester,20743,ZABEL,Neil Leslie,1,N,N,LNQ,Liberal National Party of Queensland,135,-2.92
QLD,304,Blair,6445,Grandchester,21577,OLYSLAGERS,Joshua,2,N,N,FFP,Family First,7,1.25
QLD,304,Blair,6445,Grandchester,21570,NEUMANN,Shayne Kenneth,3,Y,Y,ALP,Australian Labor Party,101,-4.15
QLD,304,Blair,6445,Grandchester,20750,KING,Brad,4,N,N,IND,Independent,14,4.86
