2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:24 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8300,General Hospital,21024,TITMUS,Steve,1,N,N,LP,Liberal,257,-0.93
TAS,192,Bass,8300,General Hospital,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,338,7.46
TAS,192,Bass,8300,General Hospital,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,177,-5.08
TAS,192,Bass,8300,General Hospital,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,8,0.7
TAS,192,Bass,8300,General Hospital,999,Informal,Informal,999,N,N,,Informal,35,-0.58
TAS,192,Bass,8301,George Town,21024,TITMUS,Steve,1,N,N,LP,Liberal,548,0.55
TAS,192,Bass,8301,George Town,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,860,2.53
TAS,192,Bass,8301,George Town,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,206,-0.09
TAS,192,Bass,8301,George Town,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,29,1.58
TAS,192,Bass,8301,George Town,999,Informal,Informal,999,N,N,,Informal,88,0.54
TAS,192,Bass,8302,George Town South,21024,TITMUS,Steve,1,N,N,LP,Liberal,316,-3.72
TAS,192,Bass,8302,George Town South,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,516,5.61
TAS,192,Bass,8302,George Town South,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,111,1.51
TAS,192,Bass,8302,George Town South,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,11,0.51
TAS,192,Bass,8302,George Town South,999,Informal,Informal,999,N,N,,Informal,52,0.9
TAS,192,Bass,8303,Gladstone,21024,TITMUS,Steve,1,N,N,LP,Liberal,67,-9.34
TAS,192,Bass,8303,Gladstone,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,52,4.55
TAS,192,Bass,8303,Gladstone,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,20,7.56
TAS,192,Bass,8303,Gladstone,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,3,2.11
TAS,192,Bass,8303,Gladstone,999,Informal,Informal,999,N,N,,Informal,3,-1.09
TAS,192,Bass,8605,Hadspen,21024,TITMUS,Steve,1,N,N,LP,Liberal,424,-3.47
TAS,192,Bass,8605,Hadspen,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,526,10.45
TAS,192,Bass,8605,Hadspen,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,116,3.31
TAS,192,Bass,8605,Hadspen,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,14,0.89
TAS,192,Bass,8605,Hadspen,999,Informal,Informal,999,N,N,,Informal,55,2.37
TAS,192,Bass,8304,Hillwood,21024,TITMUS,Steve,1,N,N,LP,Liberal,146,-1.89
TAS,192,Bass,8304,Hillwood,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,144,5.59
TAS,192,Bass,8304,Hillwood,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,100,2.39
TAS,192,Bass,8304,Hillwood,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,3,0.08
TAS,192,Bass,8304,Hillwood,999,Informal,Informal,999,N,N,,Informal,10,-0.83
TAS,192,Bass,8305,Inveresk,21024,TITMUS,Steve,1,N,N,LP,Liberal,343,1.28
TAS,192,Bass,8305,Inveresk,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,534,0.65
TAS,192,Bass,8305,Inveresk,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,195,1.05
TAS,192,Bass,8305,Inveresk,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,26,1.71
TAS,192,Bass,8305,Inveresk,999,Informal,Informal,999,N,N,,Informal,73,0.49
TAS,192,Bass,8306,Invermay,21024,TITMUS,Steve,1,N,N,LP,Liberal,407,-2.46
TAS,192,Bass,8306,Invermay,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,588,-0.37
TAS,192,Bass,8306,Invermay,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,270,5.68
TAS,192,Bass,8306,Invermay,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,17,1.06
TAS,192,Bass,8306,Invermay,999,Informal,Informal,999,N,N,,Informal,61,-0.28
TAS,192,Bass,8308,Karoola,21024,TITMUS,Steve,1,N,N,LP,Liberal,88,-3.35
TAS,192,Bass,8308,Karoola,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,125,7.41
TAS,192,Bass,8308,Karoola,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,42,0.36
TAS,192,Bass,8308,Karoola,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,7,1.18
TAS,192,Bass,8308,Karoola,999,Informal,Informal,999,N,N,,Informal,19,2.13
TAS,192,Bass,8309,Kings Meadows,21024,TITMUS,Steve,1,N,N,LP,Liberal,860,-6.75
TAS,192,Bass,8309,Kings Meadows,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,1081,6.75
TAS,192,Bass,8309,Kings Meadows,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,278,2.34
TAS,192,Bass,8309,Kings Meadows,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,17,0.47
TAS,192,Bass,8309,Kings Meadows,999,Informal,Informal,999,N,N,,Informal,127,1.73
TAS,192,Bass,8310,Lady Barron,21024,TITMUS,Steve,1,N,N,LP,Liberal,61,-5.81
TAS,192,Bass,8310,Lady Barron,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,42,5.73
TAS,192,Bass,8310,Lady Barron,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,25,1.47
TAS,192,Bass,8310,Lady Barron,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,0,0
TAS,192,Bass,8310,Lady Barron,999,Informal,Informal,999,N,N,,Informal,3,-1.71
TAS,192,Bass,8311,Launceston,21024,TITMUS,Steve,1,N,N,LP,Liberal,392,-2.73
TAS,192,Bass,8311,Launceston,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,424,1.34
TAS,192,Bass,8311,Launceston,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,315,3.67
TAS,192,Bass,8311,Launceston,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,23,1.73
TAS,192,Bass,8311,Launceston,999,Informal,Informal,999,N,N,,Informal,57,2.74
TAS,192,Bass,33906,Launceston BASS PPVC,21024,TITMUS,Steve,1,N,N,LP,Liberal,1197,-0.25
TAS,192,Bass,33906,Launceston BASS PPVC,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,1098,6.99
TAS,192,Bass,33906,Launceston BASS PPVC,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,515,-3.7
TAS,192,Bass,33906,Launceston BASS PPVC,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,23,0.47
TAS,192,Bass,33906,Launceston BASS PPVC,999,Informal,Informal,999,N,N,,Informal,70,1.17
TAS,192,Bass,8312,Launceston Central,21024,TITMUS,Steve,1,N,N,LP,Liberal,234,-3.45
TAS,192,Bass,8312,Launceston Central,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,233,8.28
TAS,192,Bass,8312,Launceston Central,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,164,-3.5
TAS,192,Bass,8312,Launceston Central,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,13,1.81
TAS,192,Bass,8312,Launceston Central,999,Informal,Informal,999,N,N,,Informal,19,1.19
TAS,192,Bass,8316,Lebrina,21024,TITMUS,Steve,1,N,N,LP,Liberal,86,-1.85
TAS,192,Bass,8316,Lebrina,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,77,1.21
TAS,192,Bass,8316,Lebrina,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,50,1.18
TAS,192,Bass,8316,Lebrina,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,9,2.79
TAS,192,Bass,8316,Lebrina,999,Informal,Informal,999,N,N,,Informal,8,-0.54
TAS,192,Bass,8616,Legana (Bass),21024,TITMUS,Steve,1,N,N,LP,Liberal,706,-4.21
TAS,192,Bass,8616,Legana (Bass),21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,629,8.97
TAS,192,Bass,8616,Legana (Bass),20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,253,-0.96
TAS,192,Bass,8616,Legana (Bass),21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,21,1.05
TAS,192,Bass,8616,Legana (Bass),999,Informal,Informal,999,N,N,,Informal,44,-0.41
TAS,192,Bass,8319,Lilydale,21024,TITMUS,Steve,1,N,N,LP,Liberal,235,-4.43
TAS,192,Bass,8319,Lilydale,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,272,8.39
TAS,192,Bass,8319,Lilydale,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,200,-0.68
TAS,192,Bass,8319,Lilydale,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,8,0.41
TAS,192,Bass,8319,Lilydale,999,Informal,Informal,999,N,N,,Informal,32,1.52
TAS,192,Bass,8321,Mowbray,21024,TITMUS,Steve,1,N,N,LP,Liberal,498,-5.15
TAS,192,Bass,8321,Mowbray,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,877,3.82
TAS,192,Bass,8321,Mowbray,20780,COLGRAVE,Sancia Geraldine,3,N,N,GRN,Australian Greens,264,5.01
TAS,192,Bass,8321,Mowbray,21751,WATTS,Adrian,4,N,N,CEC,Citizens Electoral Council,25,1.12
TAS,192,Bass,8321,Mowbray,999,Informal,Informal,999,N,N,,Informal,103,1.3
TAS,192,Bass,8288,Newnham,21024,TITMUS,Steve,1,N,N,LP,Liberal,793,-4.55
TAS,192,Bass,8288,Newnham,21013,LYONS,Geoff,2,Y,N,ALP,Australian Labor Party,1431,5
