2010 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:29 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,31744,Karoo,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,1357,0.39
VIC,197,Aston,31744,Karoo,21084,TUDGE,Alan,3,Y,N,LP,Liberal,1830,-3.91
VIC,197,Aston,31744,Karoo,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,272,3.45
VIC,197,Aston,31744,Karoo,999,Informal,Informal,999,N,N,,Informal,155,1.77
VIC,197,Aston,2957,Kent Park,21100,HANNA,Rachel,1,N,N,FFP,Family First,54,-0.7
VIC,197,Aston,2957,Kent Park,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,534,1.35
VIC,197,Aston,2957,Kent Park,21084,TUDGE,Alan,3,Y,N,LP,Liberal,518,-5.57
VIC,197,Aston,2957,Kent Park,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,139,7.06
VIC,197,Aston,2957,Kent Park,999,Informal,Informal,999,N,N,,Informal,53,0.77
VIC,197,Aston,2958,Knox Gardens,21100,HANNA,Rachel,1,N,N,FFP,Family First,200,1.64
VIC,197,Aston,2958,Knox Gardens,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,1208,-1.25
VIC,197,Aston,2958,Knox Gardens,21084,TUDGE,Alan,3,Y,N,LP,Liberal,1506,-3.67
VIC,197,Aston,2958,Knox Gardens,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,272,5.14
VIC,197,Aston,2958,Knox Gardens,999,Informal,Informal,999,N,N,,Informal,140,1.46
VIC,197,Aston,2956,Knoxfield,21100,HANNA,Rachel,1,N,N,FFP,Family First,155,2.43
VIC,197,Aston,2956,Knoxfield,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,1082,-0.88
VIC,197,Aston,2956,Knoxfield,21084,TUDGE,Alan,3,Y,N,LP,Liberal,1101,-4.75
VIC,197,Aston,2956,Knoxfield,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,235,4.84
VIC,197,Aston,2956,Knoxfield,999,Informal,Informal,999,N,N,,Informal,154,2.58
VIC,197,Aston,2959,Lysterfield,21100,HANNA,Rachel,1,N,N,FFP,Family First,119,0.7
VIC,197,Aston,2959,Lysterfield,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,926,5.28
VIC,197,Aston,2959,Lysterfield,21084,TUDGE,Alan,3,Y,N,LP,Liberal,1366,-7.56
VIC,197,Aston,2959,Lysterfield,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,167,2.56
VIC,197,Aston,2959,Lysterfield,999,Informal,Informal,999,N,N,,Informal,126,1.33
VIC,197,Aston,31993,Melbourne (Aston),21100,HANNA,Rachel,1,N,N,FFP,Family First,5,6.13
VIC,197,Aston,31993,Melbourne (Aston),21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,16,-9.43
VIC,197,Aston,31993,Melbourne (Aston),21084,TUDGE,Alan,3,Y,N,LP,Liberal,18,-4.17
VIC,197,Aston,31993,Melbourne (Aston),21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,15,12.15
VIC,197,Aston,31993,Melbourne (Aston),999,Informal,Informal,999,N,N,,Informal,3,3.72
VIC,197,Aston,2960,Morack,21100,HANNA,Rachel,1,N,N,FFP,Family First,42,-0.16
VIC,197,Aston,2960,Morack,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,668,0.83
VIC,197,Aston,2960,Morack,21084,TUDGE,Alan,3,Y,N,LP,Liberal,874,-4.37
VIC,197,Aston,2960,Morack,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,196,5.33
VIC,197,Aston,2960,Morack,999,Informal,Informal,999,N,N,,Informal,74,1.73
VIC,197,Aston,2961,Mountain Gate,21100,HANNA,Rachel,1,N,N,FFP,Family First,185,1.65
VIC,197,Aston,2961,Mountain Gate,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,1496,2.68
VIC,197,Aston,2961,Mountain Gate,21084,TUDGE,Alan,3,Y,N,LP,Liberal,1219,-7.03
VIC,197,Aston,2961,Mountain Gate,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,335,4.8
VIC,197,Aston,2961,Mountain Gate,999,Informal,Informal,999,N,N,,Informal,194,1.83
VIC,197,Aston,11513,Park Ridge,21100,HANNA,Rachel,1,N,N,FFP,Family First,122,1.67
VIC,197,Aston,11513,Park Ridge,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,999,0.07
VIC,197,Aston,11513,Park Ridge,21084,TUDGE,Alan,3,Y,N,LP,Liberal,1163,-4.64
VIC,197,Aston,11513,Park Ridge,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,231,4.35
VIC,197,Aston,11513,Park Ridge,999,Informal,Informal,999,N,N,,Informal,148,1.85
VIC,197,Aston,3577,Parkmore,21100,HANNA,Rachel,1,N,N,FFP,Family First,44,-0.89
VIC,197,Aston,3577,Parkmore,21092,EVANS,Rupert,2,N,N,ALP,Australian Labor Party,851,-3.11
VIC,197,Aston,3577,Parkmore,21084,TUDGE,Alan,3,Y,N,LP,Liberal,914,1.18
VIC,197,Aston,3577,Parkmore,21165,CRAIG,Salore,4,N,N,GRN,Australian Greens,219,4.64
VIC,197,Aston,3577,Parkmore,999,Informal,Informal,999,N,N,,Informal,77,1.31
