seat,alp_tpp
Brand,52.88
Canning,38.19
Cowan,42.54
Curtin,32.58
Durack,35.12
Forrest,37.72
Fremantle,54.77
Hasluck,45.13
Moore,38.14
O'Connor,32.75
Pearce,41.94
Perth,54.35
Stirling,39.7
Swan,43.47
Tangney,35.33
