seat,alp_tpp
Adelaide,53.95
Barker,33.45
Boothby,42.88
Grey,36.46
Hindmarsh,48.11
Kingston,59.7
Makin,55.06
Mayo,37.49
Port Adelaide,64.02
Sturt,39.92
Wakefield,53.4
