seat,alp_tpp
Blair,55.26
Bonner,46.31
Bowman,41.14
Brisbane,45.72
Capricornia,49.23
Dawson,42.42
Dickson,43.28
Fadden,35.64
Fairfax,38.32
Fisher,40.25
Flynn,43.47
Forde,45.62
Griffith,51.76
Groom,33.53
Herbert,43.83
Hinkler,40.96
Kennedy,32.85
Leichhardt,44.32
Lilley,51.32
Longman,43.08
Maranoa,27.72
McPherson,37
Moncrieff,32.05
Moreton,51.55
Oxley,53.77
Petrie,49.47
Rankin,54.78
Ryan,41.46
Wide Bay,36.84
Wright,38.16
